material,energy,delta,beta
Au,177,1.0165287755375322e-07,1.307537299632808e-09
Si,177,1.537248027234124e-08,1.76916279076189e-11
C,178,1.3084367728762965e-08,1.3851477792734303e-11
O,178,9.355731065562238e-12,9.797908854790195e-15
Au,178,1.0051333938360917e-07,1.2823839238978963e-09
Si,178,1.5200220019996245e-08,1.7549676283508326e-11
C,179,1.2938580484453726e-08,1.3747697370568368e-11
O,179,9.251487153439523e-12,9.72232726316986e-15
Au,179,9.939277943375655e-08,1.2578513037286063e-09
Si,179,1.503083924335056e-08,1.7409649346056908e-11
C,180,1.279521631093021e-08,1.3645266201878825e-11
O,180,9.148975871961731e-12,9.647744926643464e-15
Au,180,9.829078064708075e-08,1.2339207790253883e-09
Si,180,1.4864274120507109e-08,1.7271510463857107e-11
C,181,1.2654221807103521e-08,1.354415939443914e-11
O,181,9.048159035409856e-12,9.57414319220616e-15
Au,181,9.720693739749276e-08,1.2105743499326293e-09
Si,181,1.470046258791292e-08,1.7135223900979147e-11
C,182,1.2515545143115605e-08,1.3444333907970092e-11
O,182,8.94900007864289e-12,9.501502653884012e-15
Au,182,9.613998356171381e-08,1.1878247845539317e-09
Si,182,1.4539347243634712e-08,1.7000905403473288e-11
C,183,1.2379135683969966e-08,1.3345676702214595e-11
O,183,8.851461706883693e-12,9.429799818098478e-15
Au,183,9.509160384964009e-08,1.1657962757382567e-09
Si,183,1.4380863807915742e-08,1.6869238216772856e-11
C,184,1.2244944277537714e-08,1.3248275209174017e-11
O,184,8.755509363524671e-12,9.35902443112905e-15
Au,184,9.406022314230005e-08,1.1442930184427276e-09
Si,184,1.422495774024423e-08,1.6739299984704944e-11
C,185,1.2112923094732879e-08,1.3152106751110908e-11
O,185,8.661108847592122e-12,9.289159553527837e-15
Au,185,9.3045476953415e-08,1.1232997351400512e-09
Si,185,1.4071573453045549e-08,1.6611058791450757e-11
C,186,1.1983025588748667e-08,1.3057149179449743e-11
O,186,8.568226875036384e-12,9.220188644554854e-15
Au,186,9.204701053510311e-08,1.1028016718944371e-09
Si,186,1.3920656849193201e-08,1.648448347857685e-11
C,187,1.1855206454024867e-08,1.2963380859668357e-11
O,187,8.476831049390297e-12,9.152095550713823e-15
Au,187,9.10644785669645e-08,1.0827845777306573e-09
Si,187,1.3772155274311324e-08,1.635954362311227e-11
C,188,1.1729421586739025e-08,1.2870780656698802e-11
O,188,8.386889833517306e-12,9.084864494676693e-15
Au,188,9.009754485669339e-08,1.0632346849207699e-09
Si,188,1.3626017470848525e-08,1.623620951637321e-11
C,189,1.1605628046756959e-08,1.2779327920817601e-11
O,189,8.298372522403097e-12,9.018480064581781e-15
Au,189,8.914588205173069e-08,1.0441386901430396e-09
Si,189,1.3482193533848237e-08,1.6114452143506283e-11
C,190,1.1483784020981442e-08,1.2689002474006986e-11
O,190,8.211249216947056e-12,8.952927203691026e-15
Au,190,8.820917136149478e-08,1.025483736470144e-09
Si,190,1.3340634868344391e-08,1.5994243163721908e-11
C,191,1.1363848788040601e-08,1.259978459676837e-11
O,191,8.125490798711715e-12,8.88819120039257e-15
Au,191,8.728710228974858e-08,1.0072573961460345e-09
Si,191,1.3201294148314503e-08,1.5875554891191348e-11
C,192,1.1245782684260352e-08,1.2511655015371515e-11
O,192,8.041068905590392e-12,8.824257678535329e-15
Au,192,8.637937237668226e-08,9.89447654112982e-10
Si,192,1.3064125277125416e-08,1.5758360276581734e-11
C,193,1.112954707086779e-08,1.2424594889522226e-11
O,193,7.957955908355087e-12,8.761112588082825e-15
Au,193,8.548568695031097e-08,9.720428922524955e-10
Si,193,1.292908334941004e-08,1.5642632889204448e-11
C,194,1.1015104302374902e-08,1.2338585800432994e-11
O,194,7.876124888048371e-12,8.69874219607422e-15
Au,194,8.460575888680377e-08,9.550318743056269e-10
Si,194,1.2796124614316165e-08,1.552834689975361e-11
C,195,1.0902417869617178e-08,1.2253428570794845e-11
O,195,7.795549042661085e-12,8.637151851600917e-15
Au,195,8.373891165891684e-08,9.385087900459452e-10
Si,195,1.2665196391841793e-08,1.541575161212229e-11
C,196,1.0791451555372475e-08,1.2169169622918815e-11
O,196,7.716203912542748e-12,8.576321785478564e-15
Au,196,8.288585500834045e-08,9.224230898251015e-10
Si,196,1.2536276989865326e-08,1.5304725055515528e-11
C,197,1.068217081178243e-08,1.2085914461554176e-11
O,197,7.638064051925178e-12,8.516226445066032e-15
Au,197,8.2045734554896e-08,9.066928610420806e-10
Si,197,1.2409316132561647e-08,1.519505706791666e-11
C,198,1.0574541672607333e-08,1.2003646123678813e-11
O,198,7.561105172630887e-12,8.456853293736957e-15
Au,198,8.121829064709513e-08,8.913085032231786e-10
Si,198,1.2284274345320275e-08,1.5086724254891362e-11
C,199,1.046853102288752e-08,1.1922348016656144e-11
O,199,7.485303595214286e-12,8.398190070640905e-15
Au,199,8.040327012551297e-08,8.762607218402255e-10
Si,199,1.2161113142979112e-08,1.497970374027022e-11
